Date,Current Temp,Description,High Temp,Low Temp,Humidity,Feels Like,Location,AQI
2025-03-09 17:00:01.629821,4°,Ливневый дождь,10°,-1°,82%,2°,"Алматы, Казахстан",92
2025-03-09 18:00:03.383256,1°,Небольшой снегопад,10°,-1°,99%,1°,"Алматы, Казахстан",89
2025-03-09 19:00:00.891413,2°,Сильный снегопад,10°,-1°,93%,2°,"Алматы, Казахстан",77
2025-03-09 20:00:00.827878,1°,Туман,10°,-2°,97%,1°,"Алматы, Казахстан",75
2025-03-09 21:00:00.844546,0°,Туман,10°,-1°,95%,0°,"Алматы, Казахстан",74
2025-03-09 22:00:01.904562,0°,Снежно-ледяная изморось,10°,-1°,100%,-2°,"Алматы, Казахстан",75
2025-03-09 23:00:01.902640,1°,Небольшой снегопад,10°,-1°,95%,-2°,"Алматы, Казахстан",67
2025-03-10 00:00:02.325380,1°,Туман,10°,-1°,92%,1°,"Алматы, Казахстан",71
2025-03-10 01:00:02.550177,1°,Облачно,10°,-2°,87%,-3°,"Алматы, Казахстан",67
2025-03-10 02:00:03.215650,1°,Облачно,10°,-2°,88%,-2°,"Алматы, Казахстан",63
2025-03-10 03:00:02.142949,1°,Облачно,10°,-2°,86%,1°,"Алматы, Казахстан",53
2025-03-10 04:00:01.881567,0°,Легкий туман,6°,-2°,88%,-4°,"Алматы, Казахстан",52
2025-03-10 05:00:02.530351,0°,Легкий туман,6°,-2°,85%,-4°,"Алматы, Казахстан",42
2025-03-10 06:00:01.560940,-1°,Облачно,6°,-1°,91%,-1°,"Алматы, Казахстан",45
2025-03-10 07:00:01.681748,-1°,Облачно,6°,-1°,84%,-4°,"Алматы, Казахстан",54
2025-03-10 08:00:02.608683,0°,Облачно,6°,-1°,80%,-4°,"Алматы, Казахстан",64
2025-03-10 09:00:03.732495,0°,Облачно,6°,-1°,88%,0°,"Алматы, Казахстан",71
2025-03-10 10:00:05.723261,2°,Облачно,6°,-1°,78%,-2°,"Алматы, Казахстан",73
2025-03-10 11:00:04.638242,2°,Облачно,6°,-1°,76%,-1°,"Алматы, Казахстан",82
2025-03-10 12:00:02.774409,2°,Облачно,6°,-1°,80%,2°,"Алматы, Казахстан",81
2025-03-10 13:00:03.702616,4°,Переменная облачность,6°,-1°,71%,1°,"Алматы, Казахстан",93
2025-03-10 14:00:02.099928,5°,Ясно,6°,-2°,69%,3°,"Алматы, Казахстан",100
2025-03-10 15:00:02.871628,6°,Ясно,6°,-1°,66%,6°,"Алматы, Казахстан",109
2025-03-10 16:00:01.623008,6°,Ясно,6°,-1°,65%,4°,"Алматы, Казахстан",118
2025-03-10 17:00:01.479806,6°,Ясно,6°,-1°,67%,4°,"Алматы, Казахстан",122
2025-03-10 18:00:02.897502,6°,Ясно,6°,-1°,64%,6°,"Алматы, Казахстан",119
2025-03-10 19:00:01.823983,3°,Ясно,6°,-1°,77%,1°,"Алматы, Казахстан",116
2025-03-10 20:00:02.289255,2°,Легкий туман,6°,-1°,77%,2°,"Алматы, Казахстан",125
2025-03-10 21:00:01.537940,3°,Ясно,6°,-1°,68%,3°,"Алматы, Казахстан",125
2025-03-10 22:00:01.571680,1°,Легкий туман,6°,-1°,74%,1°,"Алматы, Казахстан",121
2025-03-10 23:00:01.539698,1°,Легкий туман,6°,-1°,71%,1°,"Алматы, Казахстан",111
